Establishment Type,Establishment Sub-Type,Establishment Name,Contact Title,Contact Name,Address 1,Address 2,Town/City,Postcode,Phone,Fax,Email,Website,Establishment Notes,SEED Code,Nursery Class,School Annexe,Neighbourhood,Multi-Member Ward,X,Y,Short Name,Opening Hours,Religion,Associated secondary school,Meal provider,More about primary school meals,Eco-Schools status,More about the Eco-Schools programme,Catchment area map,Glow SCA,Glow ASM,Kitchen,Business Manager,Business Manager E-mail,Active School Co-ordinator,ASC Phone,CC Opening Hours,CC Bus Routes,CC Facilities,CC Cafe,CC Internet Access,CC Key Activities,CC Disabled Access,CC Projects In Centre,CC Programme,CC More Information,CC Location description,ICT Coordinator,HT Email,Av SOS Roll
Schools - Primary,ND Primary,Canal View Primary School,Head Teacher,Ann Moore,4 Hailesland Place,,Edinburgh,EH14 2SL,0131 442 3894,0131 458 5750,Admin@Canalview.edin.sch.uk,http://www.canalview.edin.sch.uk,,5520428,YES,,South West,Sighthill/Gorgie,320075,669956,Canal View PS,,Non-Denominational,Wester Hailes Education Centre,Edinburgh Catering Services,,Silver,,,Iain Shand,Iain Shand,,Iain Shand,Iain.Shand@ea.edin.sch.uk,Charlotte Robertson,0131 442 2201/07884 244362,,,,,,,,,,,,Lesley MacKay (Primary Teacher),Ann.Moore@canalview.edin.sch.uk,252
Schools - Primary,ND Primary,Carrick Knowe Primary School,Head Teacher,Andrew Hunter,Lampacre Road,,Edinburgh,EH12 7HU,0131 334 4505,0131 467 7293,Admin@Carrickknowe.edin.sch.uk,http://www.carrickknowe.edin.sch.uk,,5521920,YES,,West,Corstorphine/Murrayfield,320510,672450,Carrick Knowe PS,,Non-Denominational,Forrester High,Edinburgh Catering Services,,Green Flag,,,Barbara Thomson,Joyce Matear,,Elizabeth McLellan,Elizabeth.McLellan@ea.edin.sch.uk,Paddy Dearlove,07884 203270,,,,,,,,,,,,Andrew Blackie (Primary Teacher) and Elizabeth McLellan (Business Manager) and Ross Hutcheson (Primary Teacher),Andrew.Hunter@carrickknowe.edin.sch.uk,417
Schools - Primary,ND Primary,Castleview Primary School,Head Teacher,Greg Dimeck (Acting),2d Greendykes Road,,Edinburgh,EH16 4DP,0131 661 6429,0131 661 9493,Admin@Castleview.edin.sch.uk,http://www.castleview.edin.sch.uk,,5520029,YES,,East,Portobello/Craigmillar,329150,671401,Castleview PS,,Non-Denominational,Castlebrae High,Amey,,Green Flag,,,Iona Taylor,,,Karen Meikle,karen.meikle@castleview.edin.sch.uk,Alan Reid,0131 468 4504,,,,,,,,,,,,Karen Meikle (Business Manager) and Stephanie Campbell (Primary Teacher),greg.dimeck@castleview.edin.sch.uk,228
Schools - Primary,ND Primary,Clermiston Primary School,Head Teacher,Gordon McIntyre,18 Parkgrove Place,,Edinburgh,EH4 7NP,0131 336 3361,0131 538 7251,Admin@clermiston.edin.sch.uk,http://www.clermiston.edin.sch.uk,,5522021,YES,,West,Drum Brae/Gyle,319460,674870,Clermiston PS,,Non-Denominational,The Royal High,Edinburgh Catering Services,,Silver,,,Geraldine Forsyth,Mhairi Patterson,Yes,June Cameron,June.Cameron@ea.edin.sch.uk,Neil Russell,07825 782585,,,,,,,,,,,,Geraldine Forsyth (Principal Teacher) and Stuart Lithgow (Primary Teacher),Gordon.McIntyre@clermiston.edin.sch.uk,345
Schools - Primary,ND Primary,Clovenstone Primary School,Head Teacher,Carolyn Didcock,54 Clovenstone Park,,Edinburgh,EH14 3EY,0131 453 4242,0131 453 2598,Admin@Clovenstone.edin.sch.uk,http://www.clovenstone.edin.sch.uk,,5532027,YES,,South West,Pentland Hills,320460,669430,Clovenstone PS,,Non-Denominational,Wester Hailes Education Centre,Edinburgh Catering Services,,Bronze,,,Ellie Henderson,Tim Wallace,Yes,Kate Preston,Kate.Preston@ea.edin.sch.uk,Charlotte Robertson,0131 442 2201/07884 244362,,,,,,,,,,,,Dawn White (Primary Teacher),Carolyn.Didcock@clovenstone.edin.sch.uk,201
Schools - Primary,ND Primary,Colinton Primary School,Head Teacher,Susan Imrie,Redford Place,,Edinburgh,EH13 0AL,0131 441 1946,0131 441 4861,Admin@Colinton.edin.sch.uk,http://www.colinton.edin.sch.uk,,5522129,YES,,South West,Colinton/Fairmilehead,322790,669055,Colinton PS,,Non-Denominational,Firrhill High,Edinburgh Catering Services,,Silver,,,Susan Imrie,Susan Blyth,,Susan Blyth,Susan.Blyth@ea.edin.sch.uk,Lorna Norman,07884 191761,,,,,,,,,,,,Mhairi Anderson (Primary Teacher) and Susan Imrie (Head Teacher),Susan.Imrie@colinton.edin.sch.uk,170
Schools - Primary,ND Primary,Corstorphine Primary School,Head Teacher,Jennifer Ross,62 Corstorphine High Street,,Edinburgh,EH12 7SY,0131 334 3865,0131 538 7274,Admin@Corstorphine.edin.sch.uk,http://www.corstorphine.edin.sch.uk,,5522323,YES,,West,Corstorphine/Murrayfield,319810,672700,Corstorphine PS,,Non-Denominational,Craigmount High,Edinburgh Catering Services,,Green,,,Katie MacLean,Kelly Doran,,Claire Thompson,Claire.Thompson@ea.edin.sch.uk,Alisa Wilson,0131 336 2532/07825 843159,,,,,,,,,,,,Claire Thompson (Business Manager) and Kelly Doran (Primary Teacher) and Vicki Walker (Primary Teacher),Jennifer.Ross@Corstorphine.edin.sch.uk,516
Schools - Primary,ND Primary,Craigentinny Primary School,Head Teacher,Maria Gowans,4 Loganlea Drive,,Edinburgh,EH7 6LR,0131 661 2749,0131 467 7212,morag.paterson@craigentinny.edin.sch.uk,http://www.craigentinny.edin.sch.uk,,5522420,YES,,North,Craigentinny/Duddingston,328642,674708,Craigentinny PS,,Non-Denominational,Leith Academy,Edinburgh Catering Services,,Green Flag,,,Doreen Roberts,Andrew Fair,,Andrew Fair,Andrew.Fair@ea.edin.sch.uk,Craig Renwick,07884 228020,,,,,,,,,,,,Doreen Roberts (Primary Teacher),Maria.Gowans@craigentinny.edin.sch.uk,210
Schools - Primary,ND Primary,Craiglockhart Primary School,Head Teacher,Derek Law,90 Ashley Terrace,,Edinburgh,EH11 1RG,0131 337 1407,0131 346 0735,Admin@Craiglockhart.edin.sch.uk,http://www.Craiglockhart.edin.sch.uk,,5522528,YES,,West,Fountainbridge/Craiglockhart,323380,671650,Craiglockhart PS,,Non-Denominational,Tynecastle High,Edinburgh Catering Services,,Silver,,,Chris Kelly,Kendal Gator,,Catriona Stewart,Catriona.Stewart@ea.edin.sch.uk,Pamela Brown,07884 142774,,,,,,,,,,,,Kendal Gater (Depute Head Teacher) and Mhairi Lindsay (Primary Teacher),Derek.Law@craiglockhart.edin.sch.uk,373
Schools - Primary,ND Primary,Craigour Park Primary School,Head Teacher,Carol Cameron,102 Moredun Park Road,,Edinburgh,EH17 7HL,0131 664 7594,0131 672 1063,Admin@craigourpark.edin.sch.uk,http://www.craigourpark.edin.sch.uk,,5520223,YES,,South,Liberton/Gilmerton,329168,669452,Craigour Park PS,,Non-Denominational,Liberton High,Amey,,Green Flag,,,Claire Herault,Claire Herault,,Paul McQuade,Paul.McQuade@ea.edin.sch.uk,Ellie Forgan,07884 210647,,,,,,,,,,,,Claire Herault (Primary Teacher),Carol.Cameron@craigourpark.edin.sch.uk,407
Schools - Primary,ND Primary,Craigroyston Primary School,Head Teacher,Lorna Stewart,7 Muirhouse Place West,,Edinburgh,EH4 4PX,0131 343 6465,0131 343 2766,Admin@craigroyston-pri.edin.sch.uk,http://www.craigroyston-pri.edin.sch.uk,,5502527,YES,,North,Forth,321770,675760,Craigroyston PS,,Non-Denominational,Craigroyston Community High,Amey,,Green Flag,,,Norma Morrison,Carol Bryce,,Carol Bryce,Carol.Bryce@craigroyston-pri.edin.sch.uk,Andrew Gallacher,07711 390745/0131 477 7801,,,,,,,,,,,,Norma Morrison (Primary Teacher),Lorna.Stewart@craigroyston-pri.edin.sch.uk,223
Schools - Primary,ND Primary,Cramond Primary School,Head Teacher,Helen Donaldson,4 Cramond Crescent,,Edinburgh,EH4 6PG,0131 312 6450,0131 312 8710,Admin@cramond.edin.sch.uk,http://www.cramond.edin.sch.uk,,5522927,YES,,West,Almond,318690,676150,Cramond PS,,Non-Denominational,The Royal High,Edinburgh Catering Services,,Silver,,,Lyndsy Adam,Lyndsy Adam,,Lyndsy Adam,Lyndsy.Adam@ea.edin.sch.uk,Neil Russell,07825 782585,,,,,,,,,,,,Yasmeen Naeem,Helen.Donaldson@cramond.edin.sch.uk,433
Schools - Primary,ND Primary,Currie Primary School,Head Teacher,Sally Hourston,59 Curriehill Road,Currie,Edinburgh,EH14 5PU,0131 449 3359,0131 476 7019,Admin@currie-pri.edin.sch.uk,http://www.currie-pri.edin.sch.uk,,5520320,YES,,South West,Pentland Hills,317999,667994,Currie PS,,Non-Denominational,Currie High,Edinburgh Catering Services,,Green Flag,,,Anna Mitchell,Margaret Campbell,,Margaret Campbell,Margaret.Campbell@ea.edin.sch.uk,Bev Anderson,0131 477 7788,,,,,,,,,,,,Margaret Campbell (Business Manager),Sally.Hourston@currie-pri.edin.sch.uk,407
Schools - Primary,ND Primary,Dalmeny Primary School,Head Teacher,Laura Brandon,Carlowrie Crescent,Dalmeny,Edinburgh,EH30 9TZ,0131 331 1447,0131 331 1447,Admin@Dalmeny.edin.sch.uk,http://www.dalmeny.edin.sch.uk,,5531527,YES,,West,Almond,314387,677235,Dalmeny PS,,Non-Denominational,Queensferry High,Edinburgh Catering Services,,Silver,,,Sarah Murray,Jane Wallace,,Jane Wallace,Jane.Wallace@ea.edin.sch.uk,Barry McGuigan,0131 319 3200/07799 861494,,,,,,,,,,,,Jane Wallace (Business Manager) and Yvonne Jarron (Teacher),Laura.Brandon@dalmeny.edin.sch.uk,112
Schools - Primary,ND Primary,Dalry Primary School,Head Teacher,Grant Gillies,Dalry Road,,Edinburgh,EH11 2JB,0131 337 6086,0131 337 3798,Admin@Dalry.edin.sch.uk,http://www.dalry.edin.sch.uk,,5523028,YES,,West,Sighthill/Gorgie,323710,672790,Dalry PS,,Non-Denominational,Tynecastle High,Edinburgh Catering Services,,Green Flag,,,Sally Barker,Sally Barker,,Elaine O'Donnell,Elaine.ODonnell@ea.edin.sch.uk,Pamela Brown,07884 142774,,,,,,,,,,,,Elaine O'Donnell (Business Manager) and Sally Barker (Teacher),Grant.Gillies@dalry.edin.sch.uk,311
Schools - Primary,ND Primary,Davidson's Mains Primary School,Head Teacher,Lesley Nock,Corbiehill Road,,Edinburgh,EH4 5DZ,0131 336 1184,0131 467 7784,Admin@davidsonsmains.edin.sch.uk,http://www.davidsonsmains.edin.sch.uk,,5523125,YES,,West,Almond,320910,675250,Davidson`s Mains PS,,Non-Denominational,The Royal High,Edinburgh Catering Services,,Silver,,,Diarmind Harris,Lynne McGrath,Yes,Lynne McGrath,Lynne.McGrath@ea.edin.sch.uk,Neil Russell,07825 782585,,,,,,,,,,,,Diarmid Harris (Principal Teacher) and Neil Hogg (Learning Assistant),Lesley.Nock@davidsonsmains.edin.sch.uk,509
Schools - Primary,ND Primary,Dean Park Primary School,Head Teacher,Rehana Shanks,31 Marchbank Gardens,Balerno,Edinburgh,EH14 7ET,0131 449 4529,0131 449 5990,Admin@deanpark.edin.sch.uk,,,5540429,YES,"1 Main Street, Balerno, EH14 7EQ",South West,Pentland Hills,316076,665929,Dean Park PS,,Non-Denominational,Balerno Community High,Edinburgh Catering Services,,Green Flag,,,Rehana Shanks,Diane Young,Yes,Kirsten Boyd,kirsten.boyd@ea.edin.sch.uk,"Bev Anderson (Mon, Tue, Wed)",07799 861460/0131 477 7788,,,,,,,,,,,,Alex Parsley (Primary Teacher) and Elizabeth Spence (Nursery Teacher) and Jane Cooper (Staff),rehana.shanks@deanpark.edin.sch.uk,511
Schools - Primary,ND Primary,Duddingston Primary School,Head Teacher,Karen Morris,70a Duddingston Road,,Edinburgh,EH15 1SW,0131 669 5092,0131 669 4224,Admin@duddingston.edin.sch.uk,http://www.duddingston.edin.sch.uk,,5523524,YES,,East,Craigentinny/Duddingston,329430,673340,Duddingston PS,,Non-Denominational,Portobello High,Edinburgh Catering Services,,Silver,,,David Wright,Sandra Duff,Yes,Peter Malone,Peter.Malone@ea.edin.sch.uk,Shona Clark (Tues - Fri),0131 661 4459/07884 271028,,,,,,,,,,,,David Wright (Deputising Depute Head Teacher),Karen.Morris@duddingston.edin.sch.uk,411
Schools - Primary,ND Primary,East Craigs Primary School,Head Teacher,Caroline Sanderson,79 Craigmount Brae,,Edinburgh,EH12 8XF,0131 339 7115,0131 538 7276,Admin@eastcraigs.edin.sch.uk,http://www.eastcraigs.edin.sch.uk,,5531225,YES,,West,Drum Brae/Gyle,318786,673915,East Craigs PS,,Non-Denominational,Craigmount High,Edinburgh Catering Services,,Green Flag,,,James Logan,Catriona Stewart,,Catriona Stewart,Catriona.Stewart@ea.edin.sch.uk,Alisa Wilson,0131 336 2532/07825 843159,,,,,,,,,,,,"Doris Edwards (Principal Teacher), James Logan (Primary Teacher) and Laura Monaghan (Depute Headteacher)",Caroline.Sanderson@eastcraigs.edin.sch.uk,414
Schools - Primary,ND Primary,Echline Primary School,Head Teacher,Dorothy Crawford,Bo'ness Road,South Queensferry,Edinburgh,EH30 9XJ,0131 331 3397,0131 319 2385,Admin@echline.edin.sch.uk,http://www.echline.edin.sch.uk,,5518229,YES,,West,Almond,312014,678151,Echline PS,,Non-Denominational,Queensferry High,Edinburgh Catering Services,,Green Flag,,,Jim McColgan,Elaine Murray,Yes,Patricia Stefanovic,Patricia.Stefanovic@ea.edin.sch.uk,Barry McGuigan,0131 319 3200/07799 861494,,,,,,,,,,,,"Dorothy Crawford (Head Teacher), Claire Martin (Primary Teacher) and Marie Goodlad (Staff)",Dorothy.Crawford@echline.edin.sch.uk,272
Schools - Primary,ND Primary,Ferryhill Primary School,Head Teacher,Stewart Crabb,Groathill Road North,,Edinburgh,EH4 2SQ,0131 538 7382,0131 538 7381,Admin@ferryhill.edin.sch.uk,http://www.ferryhill.edin.sch.uk,,5541522,YES,,North,Inverleith,322036,675205,Ferryhill PS,,Non-Denominational,Broughton High,Edinburgh Catering Services,,Green Flag,,,Alison Scott,Arlene Davison,Yes,Arlene Davison,Arlene.Davison@ea.edin.sch.uk,Andrew Gallacher (Thurs/Fri),07711 390745,,,,,,,,,,,,Alison Scott (Primary Teacher) and Arlene Davison (Business Manager) and Stacey Caplan (Primary Teacher),Stewart.Crabb@ferryhill.edin.sch.uk,319
Schools - Primary,ND Primary,Flora Stevenson Primary School,Head Teacher,Irene Brennan,175 Comely Bank,,Edinburgh,EH4 1BG,0131 332 1604,0131 343 6310,Admin@florastevenson.edin.sch.uk,http://www.florastevenson.edin.sch.uk,,5523826,YES,,North,Inverleith,323602,674607,Flora Stevenson PS,,Non-Denominational,Broughton High,Edinburgh Catering Services,,Silver,,,Maureen Allan,Lisa Dow,,Kathleen Barclay,kathleen.barclay@florastevenson.edin.sch.uk,Andrew Gallacher,07711 390745,,,,,,,,,,,,Jonathan Baxter (Principal Teacher),Irene.Brennan@florastevenson.edin.sch.uk,536
Schools - Primary,ND Primary,Forthview Primary School,Head Teacher,Eileen Littlewood,West Pilton Place,,Edinburgh,EH4 4DF,0131 332 2468,0131 332 2201,Admin@forthview.edin.sch.uk,http://www.forthview.edin.sch.uk,,5520126,YES,,North,Forth,322680,675950,Forthview PS,,Non-Denominational,Craigroyston Community High,Amey,,Silver,,,Richard Napier,Richard Napier,,Fiona McGonigle,Fiona.McGonigle@ea.edin.sch.uk,Andrew Gallacher,07711 390745/0131 477 7801,,,,,,,,,,,,Bill Stobie (Primary Teacher),Eileen.Littlewood@sighthill.edin.sch.uk,401
Schools - Primary,ND Primary,Fox Covert Primary School,Head Teacher,Gillian O'Rourke,Clerwood Terrace,,Edinburgh,EH12 8PG,0131 339 3749,0131 317 8612,Admin@foxcovert.edin.sch.uk,http://www.foxcovert.edin.sch.uk,,5524024,,,West,Drum Brae/Gyle,320207,674016,Fox Covert PS,,Non-Denominational,Craigmount High,Edinburgh Catering Services,,Green Flag,,,Elaine Mack,Sarah Dickson,,Sarah Dickson,Sarah.Dickson@ea.edin.sch.uk,Alisa Wilson,0131 336 2532/07825 843159,,,,,,,,,,,,Elaine Mack (Primary Teacher) and Sarah Dickson (Business Manager),Gillian.O'Rourke@foxcovert.edin.sch.uk,201
Schools - Primary,RC Primary,Fox Covert RC Primary School,Head Teacher,Anne Purcell,Clerwood Terrace,,Edinburgh,EH12 8PG,0131 339 2383,0131 317 8638,Admin@foxcovert-rc.edin.sch.uk,http://www.foxcovert-rc.edin.sch.uk,,5524121,,,West,Drum Brae/Gyle,320160,673980,Fox Covert RC PS,,Roman Catholic,St Augustine`s RC High,Edinburgh Catering Services,,Green Flag,,,Anne Purcell,Sarah Dickson,,Sarah Dickson,Sarah.Dickson@ea.edin.sch.uk,Alisa Wilson,0131 336 2532/07825 843159,,,,,,,,,,,,Anne Purcell (Head Teacher),Anne.Purcell@foxcovert-rc.edin.sch.uk,166
Schools - Primary,ND Primary,Gilmerton Primary School,Head Teacher,Richard Napier,2 Moredun Dykes Road,,Edinburgh,EH17 8NQ,0131 664 3614,0131 672 3096,Admin@Gilmerton.edin.sch.uk,http://www.gilmerton.edin.sch.uk,,5524229,,,South,Liberton/Gilmerton,328936,668853,Gilmerton PS,,Non-Denominational,Liberton High - a section of Gilmerton PS also feeds to Gracemount High School,Edinburgh Catering Services,,Silver,,,James Prowser,Alison Campbell,Yes,Paul McQuade,Paul.McQuade@ea.edin.sch.uk,Ellie Forgan,07884 210647,,,,,,,,,,,,Jennifer Sommerville (Primary Teacher) and Lindsay Odie (Principle Teacher),Richard.Napier@gilmerton.edin.sch.uk,367
Schools - Primary,ND Primary,Gracemount Primary School,Head Teacher,Rose Islambolipoor,45 Gracemount House Drive,,Edinburgh,EH16 6FD,0131 664 2331,0131 621 7029,Admin@gracemount-pri.edin.sch.uk,http://www.gracemount-pri.edin.sch.uk,,5524423,YES,,South,Liberton/Gilmerton,327895,668581,Gracemount PS,,Non-Denominational,Gracemount High,Edinburgh Catering Services,,Green Flag,,,Ishbel Chavasse,Lesley Lonie,Yes,Kate Carey,Kate.Carey@ea.edin.sch.uk,Phil Kidd,0131 664 7440/07824 622953,,,,,,,,,,,,Ishbel Chavasse (Primary Teacher) and Kate Carey (Business Manager),Rose.Islambolipoor@gracemount-pri.edin.sch.uk,458
Schools - Primary,ND Primary,Granton Primary School,Head Teacher,Shelagh Dow (Acting),55 Boswall Parkway,,Edinburgh,EH5 2DA,0131 552 3987,0131 551 2856,Admin@Granton.edin.sch.uk,,,5524520,YES,,North,Forth,323560,676620,Granton PS,,Non-Denominational,Broughton High,Edinburgh Catering Services,,Silver,,,Kirstie Miller,Kirstie Miller,,Linsey O'Donnell,,Robert Ure,07884 216213,,,,,,,,,,,,Elspeth Henderson (Depute Head Teacher) and Karen Sutherland (Staff) and Kirstie Miller (Principle Teacher),Shelagh.Dow@granton.edin.sch.uk,400
Schools - Primary,ND Primary,Gylemuir Primary School,Head Teacher,Aileen Smart,10 Wester Broom Place,,Edinburgh,EH12 7RT,0131 334 7138,0131 334 5148,Admin@Gylemuir.edin.sch.uk,http://www.gylemuir.edin.sch.uk,,5524822,YES,,West,Drum Brae/Gyle,319180,672410,Gylemuir PS,,Non-Denominational,Forrester High,Edinburgh Catering Services,,Green Flag,,,Gary Sullivan,Corrine McLeod,Yes,Pauline Wingate,Pauline.Wingate@gylemuir.edin.sch.uk,Paddy Dearlove,07884 203270,,,,,,,,,,,,Elaine Short (Principal Teacher) and Gary Sullivan (IT Technician),Aileen.Smart@glylemuir.edin.sch.uk,468
Schools - Primary,ND Primary,Hermitage Park Primary School,Head Teacher,Denise Penrose,9 Hermitage Park,,Edinburgh,EH6 8HD,0131 554 2952,0131 538 7280,Admin@Hermitagepark.edin.sch.uk,http://www.hermitagepark.edin.sch.uk,,5525128,YES,,North,Leith,327562,675341,Hermitage Park PS,,Non-Denominational,Leith Academy,Edinburgh Catering Services,,Green Flag,,,Grace Bell,Andrew Fair,Yes,Andrew Fair,Andrew.Fair@ea.edin.sch.uk,Craig Renwick,07884 228020,,,,,,,,,,,,Andrew Fair (Business manager) and Grace Bell (Principal Teacher),denise.penrose@hermitagepark.edin.sch.uk,391
Schools - Primary,ND Primary,Hillwood Primary School,Head Teacher,Sally Barker (Acting),Station Road,Ratho Station,Edinburgh,EH28 8PT,0131 333 1210,0131 335 3682,Admin@hillwood.edin.sch.uk,,,5540526,YES,,West,Almond,313179,672304,Hillwood PS,,Non-Denominational,Craigmount High,Edinburgh Catering Services,,Registered,,,Marion Purdie,Karen Sutherland,,Patricia Stefanovich,Patricia.Stefanovic@ea.edin.sch.uk,Alisa Wilson,0131 336 2532/07825 843159,,,,,,,,,,,,Charlotte Verity (Primary Teacher),Sally.Barker@dalry.edin.sch.uk,60
